Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
50	0	-3743.035	-3723.214	-19.82055	0.2306747	0.2077743	0.3291746	0.4745942	0.0134624	0.481267	0.0134497	0.00709874	0.480019	0.00470319	0.07902536	0.000687774	0.0383774	0.403642	3.55729	0.302834	0.294977	0.145798	0.256391	0.5536196	0.1427431
51	1	-3744.389	-3726.798	-17.5903	0.2832163	0.2054486	0.2092846	-0.2507803	0.0217129	0.463652	0.00254951	0.00906774	0.483382	0.0196363	0.3591986	0.000637937	0.0369768	0.397728	3.56466	0.313606	0.28146	0.142788	0.262145	0.1084183	3.31308
52	0	-3740.935	-3725.386	-15.54917	0.2211681	0.2111787	0.3168009	-0.02982615	0.0162897	0.476249	0.00756822	0.00639085	0.48822	0.0052821	0.07484714	0.000765538	0.0404631	0.412198	3.54657	0.30042	0.290217	0.148335	0.261029	0.04502099	1.662494
53	1	-3740.611	-3724.658	-15.95233	0.276984	0.2091711	0.2671441	-0.1093507	0.02194	0.476817	0.00455466	0.00348982	0.488438	0.00476083	0.164936	0.00071898	0.0392282	0.407167	3.55289	0.281138	0.305446	0.149446	0.263971	0.05558531	2.96726
54	0	-3742.344	-3725.967	-16.3763	0.2301021	0.2076677	0.3537804	-0.1060724	0.0105608	0.452016	0.00995456	0.00582463	0.512971	0.00867262	0.1421409	0.000685432	0.0383128	0.403372	3.55763	0.286651	0.308416	0.155174	0.249759	0.03606848	3.940862
55	1	-3744.394	-3724.862	-19.53272	0.2751673	0.2434039	0.2633748	0.1347819	0.0196752	0.476788	0.00631458	0.00405358	0.488408	0.00476054	0.2504926	0.00181847	0.0619695	0.487368	3.44884	0.316559	0.286114	0.14282	0.254507	0.3852745	0.6501666
56	0	-3740.66	-3725.094	-15.56532	0.2045851	0.1471603	0.3134535	-0.06743963	0.0104604	0.519575	0.00785769	0.00448213	0.443741	0.0138838	0.1001207	4.44276e-05	0.00985051	0.233244	3.75686	0.294034	0.312268	0.143377	0.250321	0.03268103	3.063571
57	1	-3738.361	-3723.733	-14.62796	0.2972765	0.2144771	0.2584795	0.02595046	0.0164663	0.449334	0.00681842	0.00965739	0.51065	0.00707393	0.02488181	0.000846498	0.0425224	0.420376	3.53626	0.308168	0.301084	0.136937	0.253812	0.05083227	0.4894885
58	0	-3744.891	-3725.549	-19.3416	0.2633127	0.214148	0.3259733	-0.103236	0.013453	0.512063	0.00832383	0.0148195	0.439434	0.0119065	0.3229616	0.000838168	0.0423153	0.419565	3.53728	0.303148	0.277326	0.139332	0.280195	0.2197256	1.469841
59	1	-3737.996	-3723.656	-14.34015	0.298029	0.2280009	0.2300924	-0.02552479	0.0132147	0.450897	0.00684215	0.00835736	0.512426	0.00826205	0.05020094	0.00123992	0.0513291	0.452742	3.49469	0.300131	0.290985	0.152535	0.256349	0.02467615	2.034391
60	0	-3742.527	-3724.646	-17.88134	0.259404	0.2455139	0.3021193	0.02944262	0.0153267	0.515623	0.00804524	0.00590984	0.442489	0.012606	0.1917681	0.00190923	0.0634698	0.491929	3.44269	0.31285	0.300465	0.143791	0.242895	0.2212107	0.8669024
