Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
450	-3737.075	-3722.529	-14.5466	0.2635657	0.2094613	0.2845455	0.01234822	0.0200103	0.566342	0.0138298	0.00339241	0.39108	0.00534581	0.01234927	0.000725585	0.0394058	0.407897	3.55197	0.294508	0.291278	0.138428	0.275786	0.02469749	0.5000213
460	-3742.239	-3727.465	-14.77435	0.2570967	0.2235314	0.2824405	-0.03467982	0.00987458	0.451092	0.0117321	0.00359716	0.519809	0.00389545	0.05049003	0.00109859	0.0483576	0.442251	3.50829	0.329741	0.292992	0.139499	0.237768	0.01581021	3.193508
470	-3739.869	-3724.981	-14.88839	0.3204193	0.2250608	0.2281829	0.09482991	0.0162294	0.421971	0.00901736	0.00289691	0.545796	0.00409019	0.02250395	0.00114566	0.049368	0.445864	3.50362	0.312234	0.299205	0.13933	0.249231	0.1173339	0.1917942
480	-3737.504	-3722.855	-14.6496	0.3330913	0.2265637	0.2492456	0.0716192	0.0132937	0.512659	0.00999878	0.00229733	0.456733	0.00501828	0.00742391	0.00119322	0.0503675	0.449391	3.49905	0.308736	0.29546	0.130882	0.264922	0.07904311	0.09392229
490	-3737.41	-3723.687	-13.72265	0.344073	0.2140284	0.1975296	0.001895258	0.0157314	0.475971	0.0101626	0.0033066	0.485839	0.00899025	0.01891514	0.000835153	0.0422401	0.41927	3.53765	0.303804	0.286992	0.132015	0.27719	0.02081039	0.9089273
500	-3737.306	-3723.37	-13.93523	0.3236607	0.1941724	0.2450138	0.007226247	0.0127592	0.480887	0.00935486	0.00817199	0.476088	0.0127392	0.001797683	0.000431769	0.0304826	0.368278	3.60081	0.307986	0.308597	0.127104	0.256314	0.00902393	0.1992128
510	-3739.823	-3724.414	-15.40947	0.3179498	0.2012832	0.2251556	0.2002786	0.00992847	0.47875	0.00749634	0.0118609	0.473973	0.0179918	0.001333495	0.000555103	0.034519	0.386999	3.57793	0.28502	0.308096	0.127579	0.279305	0.2016121	0.006614162
520	-3737.18	-3722.034	-15.14552	0.2866009	0.1980254	0.2724863	0.1183187	0.0114074	0.542042	0.00574457	0.0113615	0.420834	0.00861064	0.001648255	0.000495856	0.0326441	0.378485	3.58838	0.320308	0.275436	0.127864	0.276391	0.1199669	0.01373925
530	-3741.727	-3726.571	-15.15553	0.2799776	0.2182627	0.2383665	0.1644233	0.0136085	0.487509	0.00908437	0.0122458	0.471489	0.00606348	0.0003602973	0.000946466	0.0449307	0.429624	3.5245	0.285354	0.329852	0.138564	0.246229	0.1647836	0.002186488
540	-3740.612	-3726.129	-14.48356	0.2964823	0.2274545	0.2205893	0.1017229	0.0216952	0.499004	0.013338	0.0128878	0.446075	0.00699992	0.001465157	0.00122203	0.0509628	0.451471	3.49634	0.300879	0.284325	0.145583	0.269213	0.1031881	0.0141989
550	-3737.917	-3723.48	-14.43715	0.3246627	0.2010427	0.2379666	0.03506493	0.0209772	0.494318	0.00811291	0.0100948	0.457389	0.00910824	0.0211884	0.000550566	0.0343792	0.386374	3.5787	0.28393	0.306668	0.131701	0.277702	0.05625333	0.3766603
560	-3746.811	-3732.074	-14.7371	0.3054039	0.2235035	0.2398491	0.043737	0.024667	0.460903	0.00388747	0.0100431	0.492909	0.00759064	0.03378073	0.00109774	0.0483392	0.442185	3.50838	0.298203	0.317541	0.138045	0.246211	0.07751773	0.4357807
570	-3745.039	-3730.128	-14.91136	0.3619458	0.2443348	0.2027091	0.09303277	0.0181466	0.522868	0.00202056	0.0111945	0.428982	0.0167884	0.03798947	0.00185816	0.0626302	0.489385	3.44613	0.276875	0.288958	0.145026	0.289141	0.1310222	0.2899467
580	-3740.693	-3725.86	-14.83292	0.3461179	0.2186561	0.2331043	0.02461225	0.0144655	0.516116	0.00199447	0.0110499	0.446926	0.00944819	0.05064721	0.000957295	0.0451836	0.430576	3.52328	0.280426	0.324341	0.132287	0.262946	0.07525946	0.672968
590	-3750.495	-3733.004	-17.49049	0.2953291	0.2333013	0.2722736	-0.2401856	0.0114643	0.544015	0.00136965	0.00599853	0.432925	0.00422779	0.3149614	0.00142268	0.0549243	0.464923	3.47873	0.270667	0.333454	0.123596	0.272284	0.07477575	4.212079
600	-3737.336	-3722.569	-14.76767	0.2824056	0.2006377	0.2549404	0.04108012	0.0190716	0.51563	0.00212116	0.00347331	0.45452	0.00518374	0.0278582	0.000542985	0.0341442	0.38532	3.57999	0.320645	0.290845	0.126954	0.261557	0.06893831	0.4041032
610	-3742.139	-3726.506	-15.63234	0.2844377	0.211517	0.3006955	0.08258872	0.0144661	0.438215	0.00721828	0.00425338	0.517075	0.0187718	0.03126909	0.000773584	0.0406726	0.413042	3.54551	0.282016	0.309437	0.13297	0.275577	0.1138578	0.2746328
620	-3739.533	-3724.515	-15.01742	0.2680903	0.1928218	0.2932434	0.03292241	0.0158824	0.508205	0.00521652	0.00320052	0.448232	0.0192636	0.02514443	0.000410786	0.0297397	0.364665	3.60518	0.284562	0.304441	0.14616	0.264837	0.05806684	0.4330256
630	-3736.439	-3721.06	-15.3795	0.2904803	0.2055069	0.2534554	-0.01406193	0.0112697	0.524119	0.00819109	0.00239687	0.434156	0.0198668	0.09275229	0.000639154	0.0370116	0.397877	3.56447	0.302024	0.288643	0.13037	0.278963	0.07869036	1.1787
640	-3741.702	-3727.277	-14.42488	0.2731156	0.2104087	0.2704054	-0.01908345	0.0159661	0.542862	0.0112152	0.00874379	0.411417	0.00979654	0.029069	0.000747441	0.0399878	0.410273	3.54899	0.295309	0.320846	0.110493	0.273352	0.009985551	2.911106
650	-3741.727	-3725.314	-16.41264	0.3043038	0.1797512	0.2330961	0.03003168	0.010376	0.57846	0.010805	0.0134074	0.381967	0.00498539	0.1379877	0.000243984	0.022971	0.32879	3.64799	0.292333	0.320424	0.129403	0.25784	0.1680194	0.8212607
660	-3736.049	-3720.569	-15.48005	0.2731041	0.2001	0.2330568	-0.1033154	0.013429	0.512552	0.0101347	0.0155399	0.44084	0.00750403	0.1553425	0.000533035	0.0338332	0.383919	3.58171	0.298653	0.311138	0.134884	0.255326	0.05202717	2.985796
670	-3735.544	-3720.65	-14.89459	0.2469405	0.182878	0.2575853	0.102254	0.00712104	0.521062	0.01302	0.00485494	0.44816	0.00578284	0.004973747	0.000278252	0.0245184	0.337519	3.63768	0.315359	0.293921	0.128419	0.262301	0.1072278	0.04638488
680	-3739.715	-3723.464	-16.25102	0.2646385	0.166515	0.3081331	-0.03225922	0.00645432	0.569967	0.0118383	0.00197132	0.40038	0.0093888	0.1220893	0.000132417	0.0169586	0.290895	3.69201	0.309578	0.296327	0.132211	0.261884	0.08983009	1.359114
690	-3736.882	-3721.974	-14.90839	0.2990748	0.1929215	0.2788835	-0.05197621	0.0146056	0.542208	0.00577469	0.00148217	0.42971	0.00621955	0.06864966	0.000412308	0.0297943	0.364932	3.60486	0.302465	0.309217	0.128789	0.259528	0.01667345	4.117303
700	-3735.03	-3721.076	-13.95408	0.265821	0.2091972	0.2423548	-0.01579636	0.0160808	0.546948	0.00926591	0.00174028	0.41571	0.0102543	0.01622795	0.000719572	0.0392441	0.407232	3.5528	0.283922	0.313904	0.130229	0.271944	0.0004315923	37.60018
710	-3737.632	-3722.254	-15.37791	0.2376127	0.1765368	0.2867492	-0.130959	0.0166513	0.508706	0.00858188	0.00128102	0.456772	0.0080078	0.1347723	0.000212116	0.0214296	0.319725	3.65863	0.303416	0.291698	0.127641	0.277245	0.00381329	35.34278
720	-3736.491	-3720.334	-16.15761	0.2563448	0.1937526	0.262545	0.2234788	0.0192874	0.509597	0.00875165	0.000435192	0.457572	0.00435703	0.01632157	0.000425166	0.0302509	0.367157	3.60217	0.319427	0.287723	0.136553	0.256297	0.2398004	0.06806313
730	-3738.362	-3722.303	-16.05831	0.2797608	0.2281849	0.2588075	0.1659938	0.0181495	0.566191	0.00403309	0.000240412	0.404448	0.0069377	0.04011955	0.00124599	0.0514527	0.45317	3.49413	0.304964	0.309336	0.120089	0.265611	0.2061133	0.194648
740	-3740.972	-3726.865	-14.10736	0.3307322	0.1883925	0.2134972	-0.06358428	0.0223665	0.548992	0.00460256	0.00011628	0.411391	0.012532	0.06512081	0.000347111	0.0273589	0.352691	3.6196	0.285182	0.32064	0.132729	0.26145	0.001536535	42.3816
